ID	last	first	games	mins	FGM	FGA	3PT	3PTA	FTM	FTA	PTS	REB	PF	STL	BLK
12	Niles	Adrianna	25	803	124	270	28	83	43	55	319	164	40	24	5
34	Allyn	Emmy	25	751	102	240	34	107	21	36	259	75	57	17	13
22	Kelly	Alice	26	727	83	206	16	67	50	64	232	155	72	29	12
11	Giansiracusa	Ava	25	596	67	183	26	82	49	64	209	78	36	16	1
13	McMorrow	Ally	26	581	65	160	5	34	23	35	158	65	46	30	12
23	Reno	Shannon	26	694	37	108	12	40	12	29	98	105	58	19	1
10	Santorelli	Sofia	20	168	23	59	11	25	15	20	72	29	12	9	1
25	Fullem	Allison	26	245	24	85	1	13	10	21	59	57	38	9	11
21	Hyams	Ava	10	39	8	12	0	0	4	5	20	13	3	2	0
2	Carson	Kayleigh	7	33	2	5	1	3	2	2	7	4	2	2	0
14	Dasaro	Caitlyn	23	195	12	45	0	0	5	6	29	43	11	7	6
4	Stone	Megan	23	191	17	44	0	2	2	2	36	37	26	6	0
33	Zembrzuski	Hailey	6	23	4	8	2	2	0	0	10	4	1	3	0
5	Jansen	Femke	13	67	3	18	3	14	0	0	9	12	0	1	1
24	MacPhetres	Delaney	3	6	1	2	0	1	0	0	2	3	1	0	0
15	Nielsen	Leila	8	36	2	9	0	4	0	0	4	7	2	0	1
3	Ouellette	Corinn	11	64	2	14	0	5	4	6	8	10	4	2	1
20	Struble	Brooke	4	7	0	1	0	1	0	2	0	0	1	0	0
