ID	last	first	games	mins	FGM	FGA	3PT	3PTA	FTM	FTA	PTS	REB	PF	STL	BLK
21	Hyams	Ava	1	3	0	0	0	0	0	0	0	0	0	1	0
15	Nielsen	Leila	1	2	0	0	0	0	0	0	0	0	1	0	0
20	Struble	Brooke	1	2	0	0	0	0	0	0	0	0	0	0	0
5	Jansen	Femke	1	0	0	1	0	1	0	0	0	0	0	0	0
10	Santorelli	Sofia	1	7	0	2	0	2	0	0	0	0	0	0	0
3	Ouellette	Corinn	1	17	0	4	0	1	1	2	1	3	1	0	0
14	Dasaro	Caitlyn	1	15	1	2	0	0	0	0	2	3	3	1	0
24	MacPhetres	Delaney	1	2	1	2	0	1	0	0	2	2	1	0	0
34	Allyn	Emmy	1	15	2	4	0	1	0	0	4	1	4	3	0
22	Kelly	Alice	1	29	2	6	0	2	0	0	4	6	3	0	0
25	Fullem	Allison	1	13	2	6	0	1	3	3	7	3	4	0	1
23	Reno	Shannon	1	24	2	8	1	4	3	3	8	6	2	2	0
11	Giansiracusa	Ava	1	28	3	10	0	6	1	1	7	5	2	0	0
13	McMorrow	Ally	1	20	3	5	1	2	0	0	7	2	0	0	0
12	Niles	Adrianna	1	23	7	11	3	4	0	0	17	4	1	0	0
