ID	firstName	lastName	games	pointsPlayed	possessions	scores	assists	goals	blocks	offensePP	defensivePP	minPlayed
0	Jeff	Babbitt	12	237	265	41	6	35	20	194	43	307
1	Simon	Carapella	12	208	256	44	13	31	1	208	0	289
2	Peter	Boerth	10	161	141	39	20	19	4	81	80	213
3	Benjamin	Sadok	10	183	228	48	40	8	1	183	0	252
4	Orion	Cable	7	124	124	32	5	27	3	97	27	161
5	Tannor	Johnson-Go	8	131	155	28	14	14	4	123	8	168
6	Luke	Webb	12	154	84	10	4	6	7	1	153	187
7	Brendan	McCann	11	174	94	15	11	4	6	2	172	212
8	Rocco	Linehan	7	105	62	8	5	3	9	1	104	120
9	Tyler	Chan	9	136	159	25	13	12	0	120	16	196
10	Gabe	Colton	9	117	68	8	4	4	7	0	117	148
11	Colin	Sunde	11	156	202	18	16	2	3	156	0	216
12	Reed	Browning	12	144	71	12	8	4	3	0	144	177
13	Ben	Katz	6	89	44	8	2	6	2	0	89	105
14	Gustav	Haflin	8	116	72	7	2	5	7	3	113	139
15	Jonah	Stang-Osborne	9	123	65	14	12	2	2	7	116	134
16	Turner	Allen	10	132	80	7	3	4	4	19	113	149
17	Topher	Davis	9	101	69	5	2	3	3	16	85	142
18	Jac	Carreiro	5	53	30	4	0	4	3	0	53	60
19	Nathanial	Dick	9	141	178	18	16	2	1	141	0	194
